FIPS,in_Co_190,period,Yield_bu_ac,Prod_g_m2,PPT_wy,Tmax_gs,_90FDays,Pcnt_Cropland_abnd,Grassland,Eros_pct,disturb_min,sand_wt_mean,sandvf_wt_mean,silt_wt_mean,disturbed_wt_mean
19001,yes,drought,36,450.37475,683.5502984,26.9958267,2.25,11.31474598,Tallgrass Prairie,100,59.46,19.49659142,9.013316913,49.24284274,64.65102879
19001,yes,postdrought,46,583.290225,867.2040193,25.00680399,0,8.846128654,Tallgrass Prairie,100,59.46,19.49659142,9.013316913,49.24284274,64.65102879
19001,yes,predrought,39,486.3778286,801.3283281,25.88933441,0.714285714,3.679377516,Tallgrass Prairie,100,59.46,19.49659142,9.013316913,49.24284274,64.65102879
19003,yes,drought,33,409.103475,679.0879354,27.01066667,1.875,23.18345943,Tallgrass Prairie,95.59980715,59.46,19.16723418,8.919894737,49.48712976,64.77687967
19003,yes,postdrought,46,572.619325,854.6815157,25.06775379,0,10.33255802,Tallgrass Prairie,95.59980715,59.46,19.16723418,8.919894737,49.48712976,64.77687967
19003,yes,predrought,37,465.7534,827.9041989,25.95535064,0.714285714,3.380242826,Tallgrass Prairie,95.59980715,59.46,19.16723418,8.919894737,49.48712976,64.77687967
19005,yes,drought,43,535.4281,755.5206311,24.30082858,1.125,6.370849864,Tallgrass Prairie,96.01832276,0,12.43886142,6.218078318,52.39187687,41.77136918
19005,yes,postdrought,53,670.69745,858.333381,23.65247619,0.625,2.45092977,Tallgrass Prairie,96.01832276,0,12.43886142,6.218078318,52.39187687,41.77136918
19005,yes,predrought,38,482.6116286,773.6753604,23.46135239,0,2.051919984,Tallgrass Prairie,96.01832276,0,12.43886142,6.218078318,52.39187687,41.77136918
19007,yes,drought,29,365.00755,770.3187215,26.77954547,0.875,13.52106355,Tallgrass Prairie,82.25306098,51.87,26.64716223,9.569298998,46.02540621,53.03200257
19007,yes,postdrought,37,468.57805,940.0451567,25.58900284,0,8.929824862,Tallgrass Prairie,82.25306098,51.87,26.64716223,9.569298998,46.02540621,53.03200257
19007,yes,predrought,26,329.9908572,959.1850645,25.39020777,0.571428571,6.311165328,Tallgrass Prairie,82.25306098,51.87,26.64716223,9.569298998,46.02540621,53.03200257
19009,yes,drought,39,487.565975,652.726198,26.5165278,2.625,8.747797255,Tallgrass Prairie,98.30316249,61.52,11.28978372,4.508890358,57.96525061,63.73069751
19009,yes,postdrought,54,679.328325,822.0768929,24.68437847,0.125,4.507761004,Tallgrass Prairie,98.30316249,61.52,11.28978372,4.508890358,57.96525061,63.73069751
19009,yes,predrought,41,516.5074286,755.4677184,25.1874365,1,0.69392447,Tallgrass Prairie,98.30316249,61.52,11.28978372,4.508890358,57.96525061,63.73069751
19011,yes,drought,51,638.3709,767.3689661,25.4756159,2.375,8.428070298,Tallgrass Prairie,58.08527755,40,15.39351983,6.033566066,57.58185942,57.87676818
19011,yes,postdrought,57,718.0888,897.3257611,24.57167273,0.25,2.652440614,Tallgrass Prairie,58.08527755,40,15.39351983,6.033566066,57.58185942,57.87676818
19011,yes,predrought,42,532.4689429,848.7197145,24.93373507,1,1.419554296,Tallgrass Prairie,58.08527755,40,15.39351983,6.033566066,57.58185942,57.87676818
19013,yes,drought,46,583.290225,769.8516581,25.22498512,1.75,7.851267759,Tallgrass Prairie,0,42.87,34.33873532,10.41438321,41.50662372,53.80803827
19013,yes,postdrought,54,677.759075,886.4943813,24.31570296,0.25,1.466828212,Tallgrass Prairie,0,42.87,34.33873532,10.41438321,41.50662372,53.80803827
19013,yes,predrought,40,499.4698572,808.6491654,24.69348798,0.285714286,2.256890629,Tallgrass Prairie,0,42.87,34.33873532,10.41438321,41.50662372,53.80803827
19015,yes,drought,47,590.194925,718.0536363,26.14687499,2.375,7.887726436,Tallgrass Prairie,24.35163355,51.43,31.76591474,11.00680873,41.05968287,56.88080872
19015,yes,postdrought,55,686.546875,872.1896021,24.7452699,0.5,4.128732684,Tallgrass Prairie,24.35163355,51.43,31.76591474,11.00680873,41.05968287,56.88080872
19015,yes,predrought,40,506.8229143,767.5197892,25.29718182,0.857142857,0.469283442,Tallgrass Prairie,24.35163355,51.43,31.76591474,11.00680873,41.05968287,56.88080872
19017,yes,drought,42,529.1511,771.5573157,24.83531619,1.75,2.46053193,Tallgrass Prairie,16.97093618,42.87,37.14139858,11.22297854,39.01930678,53.38607302
19017,yes,postdrought,50,621.423,877.0281617,24.13912865,0.25,0.667845674,Tallgrass Prairie,16.97093618,42.87,37.14139858,11.22297854,39.01930678,53.38607302
19017,yes,predrought,38,474.1825143,805.2119745,24.27704202,0.428571429,0.628190688,Tallgrass Prairie,16.97093618,42.87,37.14139858,11.22297854,39.01930678,53.38607302
19019,yes,drought,42,522.717175,778.4293327,24.73150485,1.375,7.592499506,Tallgrass Prairie,10.53021626,42.87,38.47276772,11.79842983,38.17170968,52.59799246
19019,yes,postdrought,47,588.1549,912.6825719,24.16084467,0.375,1.692061734,Tallgrass Prairie,10.53021626,42.87,38.47276772,11.79842983,38.17170968,52.59799246
